selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus chrysoconus	kuldlaup-udelind	Yellow-fronted Tinkerbird, Yellow-fronted Barbet*, Yellow-fronted Tinkerbarbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus coryphaea, Pogoniulus coryphaeus, Viridibucco coryphaeus	mägi-udelind	Western Tinkerbird, Western Green Tinkerbird, Western Tinkerbarbet, Green Tinkerbird*
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus leucomystax, Viridibucco leucomystax	valjas-udelind	Moustached Tinkerbird, Moustached Green Tinkerbird, Moustached Tinkerbarbet, Whiskered Green Tinkerbird
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus pusillus	punalaup-udelind	Southern Red-fronted Tinkerbird, Red-fronted Tinkerbird*, Red-fronted Tinkerbarbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus scolopaceus	värb-udelind	Speckled Tinkerbird, Spectacled Tinkerbird, Tinkerbarbet, Tinker Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus simplex, Viridibucco simplex	pisi-udelind	Green Tinkerbird, Eastern Green Tinkerbird, African Green Tinkerbird, Green Tinker Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus subsulphureus	mets-udelind	Yellow-throated Tinkerbird
Piciformes	rähnilised	Lybiidae	udelindlased	Pogoniulus uropygialis, Pogoniulus pusillus uropygialis		Northern Red-fronted Tinkerbird
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis bidentatus, Lybius bidentatus	puna-udelind	Double-toothed Barbet, Tooth-billed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis dubius, Lybius dubius	prill-udelind	Bearded Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis melanopterus, Lybius melanopterus	pruunrind-udelind	Brown-breasted Barbet, Black-winged Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis minor macclounii, Pogonornis macclounii, Lybius minor macclounii	valgepõsk-udelind	White-faced Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis minor, Lybius minor	tanu-udelind	Black-backed Barbet, Brown-faced Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Pogonornis rolleti, Lybius rolleti	suur-udelind	Black-breasted Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Stactolaema anchietae	kahkpea-udelind	Anchieta's Barbet, Yellow-headed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Stactolaema leucotis, Smilorhis leucotis	valgekõrv-udelind	White-eared Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Stactolaema whytii	laiktiib-udelind	Whyte's Barbet
